Title,,,Hazard,event_date,province,district,municipality,ward
"Landslide at Morangedanda , Kamalamai Municipality-5",,,Landslide,16/10/2024,Bagmati,Sindhuli,Kamalamai,5
Landslide at Makawanpurgadhi Rural Municipality-1,,,Landslide,2/10/2024,Bagmati,Makwanpur,Makawanpurgadhi,1
"Landslide at Timure , Gosaikunda Rural Municipality-4",,,Landslide,1/10/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Thakle , Namobuddha Municipality-7",,,Landslide,1/10/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Ekudole Nakedanda , Konjyosom Rural Municipality-4",,,Landslide,30/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Bakhreni , Kamalamai Municipality-5",,,Landslide,30/09/2024,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Golkot , Namobuddha Municipality-7",,,Landslide,29/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Ramtar , Kamalamai Municipality-5",,,Landslide,29/09/2024,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Moktan Tole , Namobuddha Municipality-7",,,Landslide,28/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Naichal , Bhaktapur Municipality-9",,,Landslide,28/09/2024,Bagmati,Bhaktapur,Bhaktapur,9
"Landslide at Salla Phedimulkhola , Namobuddha Municipality-7",,,Landslide,28/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,28/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Kalleri , Gokulganga Rural Municipality-4",,,Landslide,28/09/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Jhyaplekhola , Netrawati Dabjong Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Takhel , Lalitpur Metropolitan City-10",,,Landslide,27/09/2024,Bagmati,Lalitpur,Lalitpur,10
