Title,,,Hazard,event_date,province,district,municipality,ward
"Landslide at Tinpiple , Kageshwori Manahora Municipality-9",,,Landslide,18/07/2023,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Barha Kilo , Netrawati Dabjong Rural Municipality-1",,,Landslide,17/07/2023,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Langtang Hydropower, Gosaikunda Rural Municipality-5",,,Landslide,14/07/2023,Bagmati,Rasuwa,Gosaikunda,5
Landslide at Konjyosom Rural Municipality-4,,,Landslide,13/07/2023,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Jyaltar , Makawanpurgadhi Rural Municipality-5",,,Landslide,12/7/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Akare Bhir, Golanjor Rural Municipality-6",,,Landslide,12/7/2023,Bagmati,Sindhuli,Golanjor,6
"Landslide at Dhaklang , Jugal Rural Municipality-2",,,Landslide,12/7/2023,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Simat, Bakaiya Rural Municipality-11",,,Landslide,12/7/2023,Bagmati,Makwanpur,Bakaiya,11
"Landslide at Chalal , Namobuddha Municipality-7",,,Landslide,12/7/2023,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Mudkhu Osotpawan, Kageshwori Manahora Municipality-9",,,Landslide,11/7/2023,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Charsebesi , Roshi Rural Municipality-7",,,Landslide,7/7/2023,Bagmati,Kavrepalanchok,Roshi,7
"Landslide at Kali Khola , Bharatpur Metropolitan City-14",,,Landslide,7/7/2023,Bagmati,Chitwan,Bharatpur,14
"Landslide at Lakuri Bhanjyang, Konjyosom Rural Municipality-4",,,Landslide,7/7/2023,Bagmati,Lalitpur,Konjyosom,4
Landslide at Jugal Rural Municipality-2,,,Landslide,6/7/2023,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Kholekhola , Bigu Rural Municipality-1",,,Landslide,6/7/2023,Bagmati,Dolakha,Bigu,1
Landslide at Bagmati Rural Municipality-3,,,Landslide,5/7/2023,Bagmati,Lalitpur,Bagmati,3
"Landslide at Kotdanda, Konjyosom Rural Municipality-4",,,Landslide,4/7/2023,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Kamerephat , Kamalamai Municipality-5",,,Landslide,4/7/2023,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Kaldhunga, Roshi Rural Municipality-11",,,Landslide,4/7/2023,Bagmati,Kavrepalanchok,Roshi,11
"Landslide at Bhattedanda, Bagmati Rural Municipality-3",,,Landslide,4/7/2023,Bagmati,Lalitpur,Bagmati,3
Landslide at Bharatpur Metropolitan City-14,,,Landslide,4/7/2023,Bagmati,Chitwan,Bharatpur,14
"Landslide at Ramchhe, Makawanpurgadhi Rural Municipality-5",,,Landslide,3/7/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Chapleti , Bigu Rural Municipality-1",,,Landslide,3/7/2023,Bagmati,Dolakha,Bigu,1
"Landslide at Ghatbesi , Gajuri Rural Municipality-5",,,Landslide,3/7/2023,Bagmati,Dhading,Gajuri,5
"Landslide at Pangdur , Bagmati Rural Municipality-3",,,Landslide,3/7/2023,Bagmati,Lalitpur,Bagmati,3
"Landslide at Gangate , Bhimphedi Rural Municipality-8",,,Landslide,3/7/2023,Bagmati,Makwanpur,Bhimphedi,8
Landslide at Ichchhyakamana Rural Municipality-5,,,Landslide,2/7/2023,Bagmati,Chitwan,Ichchhyakamana,5
"Landslide at Bhattedanda, Bagmati Rural Municipality-3",,,Landslide,2/7/2023,Bagmati,Lalitpur,Bagmati,3
"Landslide at Krishnabhir , Benighat Rorang Rural Municipality-7",,,Landslide,2/7/2023,Bagmati,Dhading,Benighat Rorang,7
"Landslide at Dharapani, Bhotekoshi Rural Municipality-1",,,Landslide,1/7/2023,Bagmati,Sindhupalchok,Bhotekoshi,1
"Landslide at Jhyale Bhir, Bhotekoshi Rural Municipality-5",,,Landslide,1/7/2023,Bagmati,Sindhupalchok,Bhotekoshi,5
"Landslide at Barha Kila , Thakre Rural Municipality-2",,,Landslide,1/7/2023,Bagmati,Dhading,Thakre,2
"Landslide at Barha Kila , Thakre Rural Municipality-2",,,Landslide,30/06/2023,Bagmati,Dhading,Thakre,2
"Landslide at Narayanghat Muglin Highway, Bharatpur Metropolitan City-14",,,Landslide,30/06/2023,Bagmati,Chitwan,Bharatpur,14
Landslide at Ichchhyakamana Rural Municipality-5,,,Landslide,29/06/2023,Bagmati,Chitwan,Ichchhyakamana,5
"Landslide at Bhalukhola / Pangdur Dolma, Lalitpur Metropolitan City-3",,,Landslide,29/06/2023,Bagmati,Lalitpur,Lalitpur,3
"Landslide at Manthali Khare, Bigu Rural Municipality-1",,,Landslide,28/06/2023,Bagmati,Dolakha,Bigu,1
"Landslide at Narayanghat Muglin Highway, Ichchhyakamana Rural Municipality-5",,,Landslide,28/06/2023,Bagmati,Chitwan,Ichchhyakamana,5
"Landslide at Naya Gaau / Jhakri Danda , Bagmati Rural Municipality-3",,,Landslide,27/06/2023,Bagmati,Lalitpur,Bagmati,3
Landslide at Bharatpur Metropolitan City-29,,,Landslide,26/06/2023,Bagmati,Chitwan,Bharatpur,29
"Landslide at Gangate, Makawanpurgadhi Rural Municipality-5",,,Landslide,26/06/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Bhattedanda - Takurche, Konjyosom Rural Municipality-4",,,Landslide,26/06/2023,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Satra Kilo , Bharatpur Metropolitan City-29",,,Landslide,25/06/2023,Bagmati,Chitwan,Bharatpur,29
"Landslide at Kamerephat, Kamalamai Municipality-5",,,Landslide,23/06/2023,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Seleghat - Triveni , Manthali Municipality-6",,,Landslide,23/06/2023,Bagmati,Ramechhap,Manthali,6
"Landslide at Nigale , Lisangkhu Pakhar Rural Municipality-5",,,Landslide,23/06/2023,Bagmati,Sindhupalchok,Lisangkhu Pakhar,5
"Landslide at Chapleti , Kalinchok Rural Municipality-4",,,Landslide,20/06/2023,Bagmati,Dolakha,Kalinchok,4
"Landslide at Namsipul, Ichchhyakamana Rural Municipality-6",,,Landslide,20/06/2023,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Bihani Petrolpump, Gajuri Rural Municipality-2",,,Landslide,15/06/2023,Bagmati,Dhading,Gajuri,2
"Landslide at Kameri, Netrawati Dabjong Rural Municipality-1",,,Landslide,14/06/2023,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Jarekhet Kholsi, Netrawati Dabjong Rural Municipality-1",,,Landslide,14/06/2023,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Chhepare, Makawanpurgadhi Rural Municipality-5",,,Landslide,14/06/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Newar Tole, Suryagadhi Rural Municipality-4",,,Landslide,14/06/2023,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Sisneri, Makawanpurgadhi Rural Municipality-5",,,Landslide,13/06/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Bhattedanda, Konjyosom Rural Municipality-4",,,Landslide,13/06/2023,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Ghatbesi, Netrawati Dabjong Rural Municipality-1",,,Landslide,13/06/2023,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Bhattedanda , Bagmati Rural Municipality-3",,,Landslide,26/05/2023,Bagmati,Lalitpur,Bagmati,3
"Landslide at Sangkosh , Netrawati Dabjong Rural Municipality-1",,,Landslide,24/05/2023,Bagmati,Dhading,Netrawati Dabjong,1
Landslide at Bharatpur Metropolitan City-14,,,Landslide,21/05/2023,Bagmati,Chitwan,Bharatpur,14
"Landslide at Chisapani, Panchkhal Municipality-8",,,Landslide,12/4/2023,Bagmati,Kavrepalanchok,Panchkhal,8
"Landslide at Tope Khola , Bharatpur Metropolitan City-14",,,Landslide,26/03/2023,Bagmati,Chitwan,Bharatpur,14
"Landslide at Lamabagar, Bigu Rural Municipality-1",,,Landslide,26/03/2023,Bagmati,Dolakha,Bigu,1
"Landslide at Chilinkha, Bigu Rural Municipality-5",,,Landslide,3/11/2022,Bagmati,Dolakha,Bigu,5
"Landslide at Dyan kendra, Chandragiri Municipality-2",,,Landslide,6/10/2022,Bagmati,Kathmandu,Chandragiri,2
"Landslide at Magini, Raksirang Rural Municipality-5",,,Landslide,5/10/2022,Bagmati,Makwanpur,Raksirang,5
"Landslide at Chhapagaun, Dhunibesi Municipality-4",,,Landslide,5/10/2022,Bagmati,Dhading,Dhunibesi,4
Landslide at Gosaikunda Rural Municipality-3,,,Landslide,5/10/2022,Bagmati,Rasuwa,Gosaikunda,3
"Landslide at Khatripauwa, Dhunibesi Municipality-9",,,Landslide,5/10/2022,Bagmati,Dhading,Dhunibesi,9
"Landslide at Bhutbajar, Bhotekoshi Rural Municipality-2",,,Landslide,4/10/2022,Bagmati,Sindhupalchok,Bhotekoshi,2
"Landslide at Mulpani, Kageshwori Manahora Municipality-5",,,Landslide,22/09/2022,Bagmati,Kathmandu,Kageshwori Manahora,5
"Landslide at Dakshinkali, Dakshinkali Municipality-8",,,Landslide,18/09/2022,Bagmati,Kathmandu,Dakshinkali,8
"Landslide at chalal, Bethanchowk Rural Municipality-4",,,Landslide,14/09/2022,Bagmati,Kavrepalanchok,Bethanchowk,4
"Landslide at Chaherea, Chautara SangachokGadhi Municipality-12",,,Landslide,14/09/2022,Bagmati,Sindhupalchok,Chautara SangachokGadhi,12
"Landslide at Balephi, Barhabise Municipality-9",,,Landslide,6/9/2022,Bagmati,Sindhupalchok,Barhabise,9
"Landslide at Atharakilo, Bharatpur Metropolitan City-29",,,Landslide,1/9/2022,Bagmati,Chitwan,Bharatpur,29
Landslide at Bharatpur Metropolitan City-29,,,Landslide,31/08/2022,Bagmati,Chitwan,Bharatpur,29
Landslide at Bharatpur Metropolitan City-29,,,Landslide,30/08/2022,Bagmati,Chitwan,Bharatpur,29
"Landslide at Akeravir, Golanjor Rural Municipality-6",,,Landslide,27/08/2022,Bagmati,Sindhuli,Golanjor,6
"Landslide at Samata, Gaurishankar Rural Municipality-7",,,Landslide,26/08/2022,Bagmati,Dolakha,Gaurishankar,7
"Landslide at Muglin, Bharatpur Metropolitan City-29",,,Landslide,23/08/2022,Bagmati,Chitwan,Bharatpur,29
"Landslide at Tarkuche, Bagmati Rural Municipality-3",,,Landslide,19/08/2022,Bagmati,Lalitpur,Bagmati,3
"Landslide at Sisnari, Indrasarowar Rural Municipality-3",,,Landslide,19/08/2022,Bagmati,Makwanpur,Indrasarowar,3
"Landslide at EkamPhedi, Gokulganga Rural Municipality-2",,,Landslide,17/08/2022,Bagmati,Ramechhap,Gokulganga,2
"Landslide at Thuladhik, Kageshwori Manahora Municipality-1",,,Landslide,9/8/2022,Bagmati,Kathmandu,Kageshwori Manahora,1
"Landslide at Gagalphidi, Kageshwori Manahora Municipality-1",,,Landslide,9/8/2022,Bagmati,Kathmandu,Kageshwori Manahora,1
"Landslide at Buntang, Meghang Rural Municipality-2",,,Landslide,8/8/2022,Bagmati,Nuwakot,Meghang,2
"Landslide at Ranopokhari, Chautara SangachokGadhi Municipality-8",,,Landslide,7/8/2022,Bagmati,Sindhupalchok,Chautara SangachokGadhi,8
"Landslide at Mane Bhanjang, Jiri Municipality-9",,,Landslide,7/8/2022,Bagmati,Dolakha,Jiri,9
"Landslide at Tadbasauni, Barhabise Municipality-9",,,Landslide,5/8/2022,Bagmati,Sindhupalchok,Barhabise,9
"Landslide at Daklang, Bhotekoshi Rural Municipality-4",,,Landslide,31/07/2022,Bagmati,Sindhupalchok,Bhotekoshi,4
Landslide at Bharatpur Metropolitan City-29,,,Landslide,31/07/2022,Bagmati,Chitwan,Bharatpur,29
"Landslide at Kirnetawer, Tamakoshi Rural Municipality-5",,,Landslide,30/07/2022,Bagmati,Dolakha,Tamakoshi,5
"Landslide at Chanakhu, Manthali Municipality-10",,,Landslide,26/07/2022,Bagmati,Ramechhap,Manthali,10
"Landslide at Ranagau, Neelakantha Municipality-4",,,Landslide,25/07/2022,Bagmati,Dhading,Neelakantha,4
"Landslide at Ambote, Manthali Municipality-11",,,Landslide,25/07/2022,Bagmati,Ramechhap,Manthali,11
Landslide at Jugal Rural Municipality-2,,,Landslide,25/07/2022,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Tilpung, Likhu Tamakoshi Rural Municipality-7",,,Landslide,24/07/2022,Bagmati,Ramechhap,Likhu Tamakoshi,7
"Landslide at Saping, Bhumlu Rural Municipality-1",,,Landslide,24/07/2022,Bagmati,Kavrepalanchok,Bhumlu,1
"Landslide at Mrigetole, Melung Rural Municipality-1",,,Landslide,23/07/2022,Bagmati,Dolakha,Melung,1
Landslide at Ichchhyakamana Rural Municipality-5,,,Landslide,22/07/2022,Bagmati,Chitwan,Ichchhyakamana,5
"Landslide at JHOR, Tokha Municipality-1",,,Landslide,19/07/2022,Bagmati,Kathmandu,Tokha,1
"Landslide at Gorunda, Umakunda Rural Municipality-2",,,Landslide,30/06/2022,Bagmati,Ramechhap,Umakunda,2
"Landslide at Khutuki, Umakunda Rural Municipality-6",,,Landslide,27/06/2022,Bagmati,Ramechhap,Umakunda,6
Landslide at Naukunda Rural Municipality-4,,,Landslide,25/06/2022,Bagmati,Rasuwa,Naukunda,4
"Landslide at Charkilo, Ichchhyakamana Rural Municipality-6",,,Landslide,17/06/2022,Bagmati,Chitwan,Ichchhyakamana,6
Landslide at Netrawati Dabjong Rural Municipality-1,,,Landslide,14/06/2022,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Sallaghari, Gangajamuna Rural Municipality-6",,,Landslide,14/06/2022,Bagmati,Dhading,Gangajamuna,6
"Landslide at Golphinbesi, Bhimphedi Rural Municipality-3",,,Landslide,13/06/2022,Bagmati,Makwanpur,Bhimphedi,3
"Landslide at Ghimire Gaun, Tripura Sundari Rural Municipality-5",,,Landslide,9/6/2022,Bagmati,Dhading,Tripura Sundari,5
"Landslide at charkiol, Ichchhyakamana Rural Municipality-6",,,Landslide,26/05/2022,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Jagatthali, Khanikhola Rural Municipality-4",,,Landslide,23/03/2022,Bagmati,Kavrepalanchok,Khanikhola,4
"Landslide at Aasapuri, Banepa Municipality-14",,,Landslide,25/02/2022,Bagmati,Kavrepalanchok,Banepa,14
"Landslide at gomggang, Aamachhodingmo Rural Municipality-5",,,Landslide,25/01/2022,Bagmati,Rasuwa,Aamachhodingmo,5
"Landslide at Linjo, Rubi Valley Rural Municipality-1",,,Landslide,12/1/2022,Bagmati,Dhading,Rubi Valley,1
"Landslide at sunthakhani, Gokarneshwor Municipality-3",,,Landslide,6/9/2021,Bagmati,Kathmandu,Gokarneshwor,3
"Landslide at Ghimiregau, Banepa Municipality-2",,,Landslide,5/9/2021,Bagmati,Kavrepalanchok,Banepa,2
"Landslide at Dulalgau, Banepa Municipality-2",,,Landslide,5/9/2021,Bagmati,Kavrepalanchok,Banepa,2
"Landslide at Hayaya, Golanjor Rural Municipality-6",,,Landslide,31/08/2021,Bagmati,Sindhuli,Golanjor,6
"Landslide at phatpur, Suryagadhi Rural Municipality-2",,,Landslide,30/08/2021,Bagmati,Nuwakot,Suryagadhi,2
"Landslide at kaule, Kakani Rural Municipality-2",,,Landslide,29/08/2021,Bagmati,Nuwakot,Kakani,2
"Landslide at katunje, Roshi Rural Municipality-7",,,Landslide,28/08/2021,Bagmati,Kavrepalanchok,Roshi,7
"Landslide at phandra, Bhimphedi Rural Municipality-3",,,Landslide,19/08/2021,Bagmati,Makwanpur,Bhimphedi,3
"Landslide at kodadha, Naukunda Rural Municipality-5",,,Landslide,18/08/2021,Bagmati,Rasuwa,Naukunda,5
"Landslide at kaldharu, Belkotgadhi Municipality-5",,,Landslide,18/08/2021,Bagmati,Nuwakot,Belkotgadhi,5
"Landslide at OKharpauwa, Kakani Rural Municipality-5",,,Landslide,18/08/2021,Bagmati,Nuwakot,Kakani,5
"Landslide at Pakhresiude, Kailash Rural Municipality-8",,,Landslide,14/08/2021,Bagmati,Makwanpur,Kailash,8
Landslide at Tadi Rural Municipality-6,,,Landslide,13/08/2021,Bagmati,Nuwakot,Tadi,6
"Landslide at Pokhregaun, Changunarayan Municipality-4",,,Landslide,11/8/2021,Bagmati,Bhaktapur,Changunarayan,4
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,9/8/2021,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Bandre, Bidur Municipality-1",,,Landslide,29/07/2021,Bagmati,Nuwakot,Bidur,1
"Landslide at Doblam, Doramba Rural Municipality-7",,,Landslide,29/07/2021,Bagmati,Ramechhap,Doramba,7
"Landslide at Thingdanda, Indrasarowar Rural Municipality-3",,,Landslide,29/07/2021,Bagmati,Makwanpur,Indrasarowar,3
"Landslide at Pinkhuri, Khadadevi Rural Municipality-9",,,Landslide,28/07/2021,Bagmati,Ramechhap,Khadadevi,9
Landslide at Bhotekoshi Rural Municipality-4,,,Landslide,25/07/2021,Bagmati,Sindhupalchok,Bhotekoshi,4
"Landslide at Gurung Gau, Shivapuri Rural Municipality-6",,,Landslide,24/07/2021,Bagmati,Nuwakot,Shivapuri,6
"Landslide at Shikerbashi, Dupcheshwar Rural Municipality-7",,,Landslide,20/07/2021,Bagmati,Nuwakot,Dupcheshwar,7
"Landslide at Jungu, Gaurishankar Rural Municipality-2",,,Landslide,9/7/2021,Bagmati,Dolakha,Gaurishankar,2
"Landslide at Kharanitar, Tadi Rural Municipality-3",,,Landslide,9/7/2021,Bagmati,Nuwakot,Tadi,3
"Landslide at Chithang, Bhimeshwor Municipality-6",,,Landslide,9/7/2021,Bagmati,Dolakha,Bhimeshwor,6
"Landslide at Kalanki, Kathmandu Metropolitan City-14",,,Landslide,8/7/2021,Bagmati,Kathmandu,Kathmandu,14
"Landslide at Mungling, Bharatpur Metropolitan City-29",,,Landslide,5/7/2021,Bagmati,Chitwan,Bharatpur,29
"Landslide at Banchare, Tadi Rural Municipality-5",,,Landslide,3/7/2021,Bagmati,Nuwakot,Tadi,5
"Landslide at Gurunda, Umakunda Rural Municipality-2",,,Landslide,3/7/2021,Bagmati,Ramechhap,Umakunda,2
"Landslide at Pipalamod, Dhunibesi Municipality-9",,,Landslide,2/7/2021,Bagmati,Dhading,Dhunibesi,9
"Landslide at Taraling, Raksirang Rural Municipality-9",,,Landslide,2/7/2021,Bagmati,Makwanpur,Raksirang,9
"Landslide at Jewang Khola, Benighat Rorang Rural Municipality-10",,,Landslide,1/7/2021,Bagmati,Dhading,Benighat Rorang,10
"Landslide at Chhaling, Changunarayan Municipality-5",,,Landslide,1/7/2021,Bagmati,Bhaktapur,Changunarayan,5
"Landslide at Chhakdole, Kathmandu Metropolitan City-5",,,Landslide,1/7/2021,Bagmati,Kathmandu,Kathmandu,5
"Landslide at Charimara, Raksirang Rural Municipality-7",,,Landslide,1/7/2021,Bagmati,Makwanpur,Raksirang,7
"Landslide at pahire, Kamalamai Municipality-8",,,Landslide,30/06/2021,Bagmati,Sindhuli,Kamalamai,8
"Landslide at Chhap, Changunarayan Municipality-4",,,Landslide,30/06/2021,Bagmati,Bhaktapur,Changunarayan,4
"Landslide at Jinakhu, Dudhouli Municipality-12",,,Landslide,30/06/2021,Bagmati,Sindhuli,Dudhouli,12
"Landslide at Parkhaltole, Rapti Municipality-12",,,Landslide,30/06/2021,Bagmati,Chitwan,Rapti,12
"Landslide at Danetar, Kalika Municipality-11",,,Landslide,30/06/2021,Bagmati,Chitwan,Kalika,11
"Landslide at Pandrang, Bhimphedi Rural Municipality-3",,,Landslide,26/06/2021,Bagmati,Makwanpur,Bhimphedi,3
"Landslide at Jalbire, Ichchhyakamana Rural Municipality-6",,,Landslide,18/06/2021,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Chitre Bazar, Bhotekoshi Rural Municipality-2",,,Landslide,18/06/2021,Bagmati,Sindhupalchok,Bhotekoshi,2
"Landslide at Sapru, Gosaikunda Rural Municipality-5",,,Landslide,14/06/2021,Bagmati,Rasuwa,Gosaikunda,5
"Landslide at Deurali, Bhimphedi Rural Municipality-6",,,Landslide,14/06/2021,Bagmati,Makwanpur,Bhimphedi,6
"Landslide at Shyaphru, Gosaikunda Rural Municipality-5",,,Landslide,14/06/2021,Bagmati,Rasuwa,Gosaikunda,5
"Landslide at Tilakhang, Benighat Rorang Rural Municipality-10",,,Landslide,14/06/2021,Bagmati,Dhading,Benighat Rorang,10
"Landslide at Khirne, Kamalamai Municipality-12",,,Landslide,5/6/2021,Bagmati,Sindhuli,Kamalamai,12
"Landslide at Gargare, Bhimphedi Rural Municipality-8",,,Landslide,30/05/2021,Bagmati,Makwanpur,Bhimphedi,8
"Landslide at tinpiple, Panchkhal Municipality-3",,,Landslide,12/11/2020,Bagmati,Kavrepalanchok,Panchkhal,3
"Landslide at Gothatar, Kageshwori Manahora Municipality-8",,,Landslide,1/10/2020,Bagmati,Kathmandu,Kageshwori Manahora,8
"Landslide at Dalchauki, Konjyosom Rural Municipality-3",,,Landslide,29/09/2020,Bagmati,Lalitpur,Konjyosom,3
"Landslide at Khoplasi, Raksirang Rural Municipality-5",,,Landslide,24/09/2020,Bagmati,Makwanpur,Raksirang,5
"Landslide at Derali, Indrasarowar Rural Municipality-2",,,Landslide,22/09/2020,Bagmati,Makwanpur,Indrasarowar,2
"Landslide at Pangdurdol, Bagmati Rural Municipality-3",,,Landslide,22/09/2020,Bagmati,Lalitpur,Bagmati,3
Landslide at Barhabise Municipality-7,,,Landslide,12/9/2020,Bagmati,Sindhupalchok,Barhabise,7
"Landslide at Sallu, Bigu Rural Municipality-1",,,Landslide,11/9/2020,Bagmati,Dolakha,Bigu,1
"Landslide at Lapilang, Kalinchok Rural Municipality-5",,,Landslide,7/9/2020,Bagmati,Dolakha,Kalinchok,5
"Landslide at Dakling, Bhotekoshi Rural Municipality-4",,,Landslide,6/9/2020,Bagmati,Sindhupalchok,Bhotekoshi,4
"Landslide at Sunkhani, Kalinchok Rural Municipality-7",,,Landslide,31/08/2020,Bagmati,Dolakha,Kalinchok,7
"Landslide at Daklang, Bhotekoshi Rural Municipality-4",,,Landslide,25/08/2020,Bagmati,Sindhupalchok,Bhotekoshi,4
"Landslide at Tindhara, Banepa Municipality-3",,,Landslide,19/08/2020,Bagmati,Kavrepalanchok,Banepa,3
"Landslide at Rasuwagadhi, Gosaikunda Rural Municipality-2",,,Landslide,16/08/2020,Bagmati,Rasuwa,Gosaikunda,2
"Landslide at Medangfedung, Gosaikunda Rural Municipality-3",,,Landslide,15/08/2020,Bagmati,Rasuwa,Gosaikunda,3
"Landslide at Liuksing, Bhotekoshi Rural Municipality-4",,,Landslide,14/08/2020,Bagmati,Sindhupalchok,Bhotekoshi,4
"Landslide at Lidi, Jugal Rural Municipality-2",,,Landslide,13/08/2020,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Gaurigau, Thaha Municipality-12",,,Landslide,12/8/2020,Bagmati,Makwanpur,Thaha,12
"Landslide at Kagunea, Bidur Municipality-13",,,Landslide,9/8/2020,Bagmati,Nuwakot,Bidur,13
Landslide at Ichchhyakamana Rural Municipality-6,,,Landslide,7/8/2020,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Tarukaghat, Belkotgadhi Municipality-7",,,Landslide,5/8/2020,Bagmati,Nuwakot,Belkotgadhi,7
"Landslide at Sukaura, Indrasarowar Rural Municipality-2",,,Landslide,5/8/2020,Bagmati,Makwanpur,Indrasarowar,2
"Landslide at Ghusel, Bagmati Rural Municipality-1",,,Landslide,5/8/2020,Bagmati,Lalitpur,Bagmati,1
"Landslide at Chuintar, Gaurishankar Rural Municipality-8",,,Landslide,5/8/2020,Bagmati,Dolakha,Gaurishankar,8
"Landslide at Baruwa, Panchpokhari Thangpal Rural Municipality-2",,,Landslide,2/8/2020,Bagmati,Sindhupalchok,Panchpokhari Thangpal,2
"Landslide at Gairabager, Melamchi Municipality-11",,,Landslide,2/8/2020,Bagmati,Sindhupalchok,Melamchi,11
"Landslide at Karthali, Barhabise Municipality-2",,,Landslide,2/8/2020,Bagmati,Sindhupalchok,Barhabise,2
"Landslide at Bhakuwatar, Indrasarowar Rural Municipality-3",,,Landslide,2/8/2020,Bagmati,Makwanpur,Indrasarowar,3
"Landslide at Jalbire, Ichchhyakamana Rural Municipality-6",,,Landslide,31/07/2020,Bagmati,Chitwan,Ichchhyakamana,6
Landslide at Kakani Rural Municipality-2,,,Landslide,31/07/2020,Bagmati,Nuwakot,Kakani,2
"Landslide at Kagunea, Bidur Municipality-13",,,Landslide,31/07/2020,Bagmati,Nuwakot,Bidur,13
"Landslide at Kurintar, Ichchhyakamana Rural Municipality-4",,,Landslide,29/07/2020,Bagmati,Chitwan,Ichchhyakamana,4
"Landslide at Singati, Bigu Rural Municipality-4",,,Landslide,27/07/2020,Bagmati,Dolakha,Bigu,4
"Landslide at Kameretar, Sunkoshi Rural Municipality-2",,,Landslide,27/07/2020,Bagmati,Sindhuli,Sunkoshi,2
Landslide at Belkotgadhi Municipality-9,,,Landslide,25/07/2020,Bagmati,Nuwakot,Belkotgadhi,9
"Landslide at Karkigau, Thakre Rural Municipality-6",,,Landslide,23/07/2020,Bagmati,Dhading,Thakre,6
"Landslide at Dui Pipal, Belkotgadhi Municipality-5",,,Landslide,23/07/2020,Bagmati,Nuwakot,Belkotgadhi,5
"Landslide at Sukaura, Indrasarowar Rural Municipality-2",,,Landslide,23/07/2020,Bagmati,Makwanpur,Indrasarowar,2
"Landslide at Khoplang, Bhimphedi Rural Municipality-1",,,Landslide,21/07/2020,Bagmati,Makwanpur,Bhimphedi,1
Landslide at Dakshinkali Municipality-9,,,Landslide,20/07/2020,Bagmati,Kathmandu,Dakshinkali,9
"Landslide at Pasidada, Tokha Municipality-1",,,Landslide,20/07/2020,Bagmati,Kathmandu,Tokha,1
Landslide at Bharatpur Metropolitan City-29,,,Landslide,20/07/2020,Bagmati,Chitwan,Bharatpur,29
"Landslide at Kulung, Gosaikunda Rural Municipality-3",,,Landslide,19/07/2020,Bagmati,Rasuwa,Gosaikunda,3
"Landslide at Raksha Khola, Indrasarowar Rural Municipality-4",,,Landslide,19/07/2020,Bagmati,Makwanpur,Indrasarowar,4
"Landslide at Bhaise, Chautara SangachokGadhi Municipality-9",,,Landslide,19/07/2020,Bagmati,Sindhupalchok,Chautara SangachokGadhi,9
"Landslide at Bhusatar, Benighat Rorang Rural Municipality-8",,,Landslide,19/07/2020,Bagmati,Dhading,Benighat Rorang,8
"Landslide at Majhuwa, Gajuri Rural Municipality-2",,,Landslide,19/07/2020,Bagmati,Dhading,Gajuri,2
"Landslide at Golang, Tripura Sundari Rural Municipality-6",,,Landslide,19/07/2020,Bagmati,Dhading,Tripura Sundari,6
"Landslide at Magalphadi, Kageshwori Manahora Municipality-1",,,Landslide,18/07/2020,Bagmati,Kathmandu,Kageshwori Manahora,1
"Landslide at Bageshwori, Changunarayan Municipality-7",,,Landslide,17/07/2020,Bagmati,Bhaktapur,Changunarayan,7
"Landslide at Fulping, Bhotekoshi Rural Municipality-4",,,Landslide,15/07/2020,Bagmati,Sindhupalchok,Bhotekoshi,4
"Landslide at Damrang, Bhimeshwor Municipality-1",,,Landslide,11/7/2020,Bagmati,Dolakha,Bhimeshwor,1
"Landslide at sayapatri, Indrasarowar Rural Municipality-2",,,Landslide,10/7/2020,Bagmati,Makwanpur,Indrasarowar,2
"Landslide at Kudule, Golanjor Rural Municipality-1",,,Landslide,10/7/2020,Bagmati,Sindhuli,Golanjor,1
