event_id,event_date,latitude,longitude
6069,6/19/2014 23:00,28.0054,82.68
786,9/11/2008,27.777,85.3717
6171,7/21/2014 0:00,29.1491,81.6165
2192,8/2/2010,27.6661,86.0332
7246,7/16/2015 0:00,27.7768,85.8888
7032,6/29/2015 0:00,27.4916,85.4416
1046,7/1/2009,29.7225,82.5068
2059,7/11/2010,28.299,84.0366
7107,7/3/2015,28.1046,84.6634
8676,7/4/2016,28.2317,84.8756
3739,7/6/2011,27.6454,84.125
2058,7/11/2010,28.22020061,84.17758452
2029,6/30/2010 9:00,27.6063,87.2196
4960,6/18/2013 0:00,27.8196,85.2114
764,8/29/2008 0:00,29.3833,81.3167
4235,3/1/2012,28.1038,85.0548
9682,8/30/2008 0:00,28.10025822,84.42143526
2196,8/3/2010,28.2598,84.0999
3918,8/13/2011 0:00,27.6674,86.7174
8679,7/5/2016,28.298,84.9671
802,9/21/2008 0:00,28.694,80.595
3977,9/17/2011 0:00,27.3824,86.0567
7075,6/30/2015 0:00,26.9071,87.9217
3687,7/1/2011,27.6264,83.3789
5163,7/22/2013 0:00,27.9196,83.8799
7648,11/11/2015,28.1281,83.3841
7357,7/30/2015 0:00,28.5167,83.3426
9499,9/11/2016,28.2183,85.3573
763,8/29/2008 0:00,27.499,87.106
6280,9/25/2014 0:00,27.8519,85.5248
3979,9/17/2011 0:00,28.25,82.7311
1227,10/6/2009,28.1778,83.7
219,8/31/2007 0:00,28.0667,83.25
3702,7/2/2011,29.1265,81.2574
6523,8/12/2014,28.3537,82.6184
5297,8/8/2013,27.8664,83.1036
2092,7/17/2010 0:00,29.2675,80.9499
6165,7/20/2014 0:00,29.2777,80.9871
7318,7/30/2015 0:00,28.2798,83.8494
5472,9/6/2013,26.9149,87.3372
5162,7/22/2013 0:00,27.859,83.6014
6935,6/10/2015,27.5905,87.7955
7646,4/18/2016 0:00,28.678,84.2297
3688,7/1/2011,27.7395,83.5753
2393,9/4/2010,27.9333,83.653
6183,7/27/2014 9:00,28.6881,81.6309
4991,6/27/2013 23:00,29.378,81.3559
6980,6/13/2015 0:00,27.7786,85.3867
4921,6/15/2013 0:00,27.1418,87.7788
9159,7/25/2016 0:00,27.6019,85.225
4903,6/6/2013,28.2717,83.5906
3920,8/14/2011 0:00,29.1657,81.5631
7103,5/3/2015,28.4202,84.8996
4505,8/21/2012 0:00,27.404,87.065
4580,10/1/2012,27.4191,87.2714
7356,7/30/2015 0:00,28.5266,83.2765
3822,7/21/2011 0:00,29.5194,80.469
2448,9/18/2010 0:00,27.7948,84.8566
6936,6/18/2015 0:00,28.2974,83.8
9164,7/24/2016 9:00,27.1979,87.0809
1228,10/6/2009,29.2611,81.1833
4889,5/31/2013 9:00,27.7366,85.3305
3711,7/3/2011,27.8173,83.4644
9180,6/7/2016,27.8027,85.9149
3919,8/14/2011 0:00,27.9604,84.2231
5161,7/22/2013 0:00,27.9706,83.397
1066,7/31/2009 0:00,27.9582,84.2726
9208,7/27/2016 1:00,28.1855,83.6527
3714,7/3/2011,27.1722,87.0479
5135,7/19/2013 23:00,27.6746,83.7533
7005,6/25/2015 0:00,28.172,85.0852
5488,9/9/2013,27.7757,85.9614
