S.No.,district,municipality,ward,Incident Place,event_date,Incident,,,,,,,,
132,Terhathum,Morahang,,,27/05/2012,Landslide,,,,,,,,
133,Sindhupalchowk,-,,,15/06/2012,Landslide,,,,,,,,
134,Ilam,Kanyam,,,15/06/2012,Landslide,,,,,,,,
135,Gulmi,-,,,18/06/2012,Landslide,,,,,,,,
136,Gorkha,-,,,25/06/2012,Landslide,,,,,,,,
137,Dhading,-,,,25/06/2012,Landslide,,,,,,,,
138,Dhading,-,,,26/06/2012,Landslide,,,,,,,,
139,Taplejung,-,,,26/06/2012,Landslide,,,,,,,,
140,Humla,Darma,,,27/06/2012,Landslide,,,,,,,,
141,Parbat,Dhairing,,,27/06/2012,Landslide,,,,,,,,
142,Tanahu,-,,,28/06/2012,Landslide,,,,,,,,
143,Shankhuwasabha,Matsyapokhari,,,28/06/2012,Landslide,,,,,,,,
144,Baglung,Hatiya,,,29/06/2012,Landslide,,,,,,,,
145,Rolpa,Ghartigaun,,,30/06/2012,Landslide,,,,,,,,
146,Gorkha,Kerauja,,,4/7/2012,Landslide,,,,,,,,
147,Darchula,Dhuligada,,,5/7/2012,Landslide,,,,,,,,
148,Surkhet,-,,,7/7/2012,Landslide,,,,,,,,
149,Surkhet,Hariharpur,,,7/7/2012,Landslide,,,,,,,,
150,Nuwakot,Belkot,,,12/7/2012,Landslide,,,,,,,,
151,Myagdi,Tatopani,,,13/07/2012,Landslide,,,,,,,,
152,Myagdi,-,,,13/07/2012,Landslide,,,,,,,,
153,Myagdi,-,,,13/07/2012,Landslide,,,,,,,,
154,Myagdi,-,,,13/07/2012,Landslide,,,,,,,,
155,Nuwakot,Belkot,,,13/07/2012,Landslide,,,,,,,,
156,Shankhuwasabha,Bala,,,13/07/2012,Landslide,,,,,,,,
157,Ilam,Kanyam,,,14/07/2012,Landslide,,,,,,,,
158,Ilam,Pashupatinagar,,,15/07/2012,Landslide,,,,,,,,
159,Ilam,Fikkal,,,15/07/2012,Landslide,,,,,,,,
160,Ilam,Pashupatinagar,,,15/07/2012,Landslide,,,,,,,,
161,Nuwakot,Duipipal,,,16/07/2012,Landslide,,,,,,,,
162,Kailali,Mohanayal,,,19/07/2012,Landslide,,,,,,,,
163,Lalitpur,-,,,19/07/2012,Landslide,,,,,,,,
164,Shankhuwasabha,Madimulkharka,,,19/07/2012,Landslide,,,,,,,,
165,Jajarkot,Bhagawati,,,20/07/2012,Landslide,,,,,,,,
166,Kathmandu,-,,,20/07/2012,Landslide,,,,,,,,
167,Nuwakot,Panchakanya,,,22/07/2012,Landslide,,,,,,,,
168,Ilam,-,,,23/07/2012,Landslide,,,,,,,,
